t_seconds,approach,movement,vehicles_count
0,E,L,1
0,E,R,1
0,E,T,3
0,N,L,1
0,N,R,1
0,N,T,3
0,S,L,1
0,S,T,3
0,W,L,2
0,W,R,1
0,W,T,6
60,E,L,1
60,E,R,1
60,E,T,5
60,N,L,2
60,N,R,1
60,N,T,6
60,S,T,2
60,W,L,1
60,W,R,1
60,W,T,6
120,E,L,1
120,E,R,1
120,E,T,3
120,N,L,1
120,N,T,2
120,S,L,1
120,S,R,1
120,S,T,6
120,W,L,1
120,W,R,1
120,W,T,6
180,E,L,1
180,E,R,1
180,E,T,3
180,N,L,1
180,N,R,1
180,N,T,6
180,S,L,2
180,S,R,1
180,S,T,6
180,W,L,1
180,W,R,1
180,W,T,4
240,E,L,2
240,E,R,1
240,E,T,6
240,N,L,1
240,N,R,1
240,N,T,5
240,S,L,1
240,S,R,1
240,S,T,4
240,W,L,1
240,W,R,1
240,W,T,4
300,E,L,2
300,E,R,1
300,E,T,6
300,N,L,1
300,N,R,1
300,N,T,4
300,S,L,1
300,S,R,1
300,S,T,6
300,W,L,1
300,W,T,2
360,E,L,2
360,E,R,1
360,E,T,6
360,N,L,1
360,N,R,1
360,N,T,6
360,S,L,1
360,S,R,1
360,S,T,3
360,W,L,2
360,W,R,1
360,W,T,7
420,E,L,2
420,E,R,1
420,E,T,6
420,N,L,2
420,N,R,2
420,N,T,8
420,S,L,2
420,S,R,1
420,S,T,7
420,W,L,1
420,W,R,1
420,W,T,5
480,E,L,2
480,E,R,2
480,E,T,8
480,N,L,1
480,N,R,1
480,N,T,5
480,S,L,1
480,S,R,1
480,S,T,3
480,W,L,2
480,W,R,2
480,W,T,9
540,E,L,2
540,E,R,1
540,E,T,7
540,N,L,1
540,N,R,1
540,N,T,3
540,S,L,1
540,S,R,1
540,S,T,5
540,W,L,2
540,W,R,2
540,W,T,8
600,E,L,2
600,E,R,2
600,E,T,10
600,N,L,2
600,N,R,1
600,N,T,7
600,S,L,2
600,S,R,1
600,S,T,8
600,W,L,1
600,W,R,1
600,W,T,4
660,E,L,1
660,E,R,1
660,E,T,3
660,N,L,2
660,N,R,2
660,N,T,8
660,S,L,2
660,S,R,2
660,S,T,8
660,W,L,2
660,W,R,1
660,W,T,7
720,E,L,2
720,E,R,2
720,E,T,8
720,N,L,1
720,N,R,1
720,N,T,5
720,S,L,2
720,S,R,1
720,S,T,8
720,W,L,2
720,W,R,1
720,W,T,8
780,E,L,2
780,E,R,2
780,E,T,9
780,N,L,2
780,N,R,1
780,N,T,6
780,S,L,2
780,S,R,1
780,S,T,6
780,W,L,2
780,W,R,2
780,W,T,11
840,E,L,2
840,E,R,1
840,E,T,8
840,N,L,1
840,N,R,1
840,N,T,6
840,S,L,2
840,S,R,2
840,S,T,11
840,W,L,2
840,W,R,2
840,W,T,10
900,E,L,2
900,E,R,2
900,E,T,10
900,N,L,2
900,N,R,1
900,N,T,7
900,S,L,2
900,S,R,2
900,S,T,8
900,W,L,2
900,W,R,2
900,W,T,8
960,E,L,2
960,E,R,2
960,E,T,9
960,N,L,2
960,N,R,2
960,N,T,8
960,S,L,2
960,S,R,2
960,S,T,10
960,W,L,3
960,W,R,2
960,W,T,12
1020,E,L,2
1020,E,R,2
1020,E,T,8
1020,N,L,2
1020,N,R,1
1020,N,T,8
1020,S,L,2
1020,S,R,1
1020,S,T,8
1020,W,L,3
1020,W,R,2
1020,W,T,12
1080,E,L,2
1080,E,R,2
1080,E,T,10
1080,N,L,2
1080,N,R,1
1080,N,T,7
1080,S,L,2
1080,S,R,2
1080,S,T,8
1080,W,L,2
1080,W,R,2
1080,W,T,9
1140,E,L,2
1140,E,R,2
1140,E,T,8
1140,N,L,3
1140,N,R,3
1140,N,T,13
1140,S,L,2
1140,S,R,2
1140,S,T,9
1140,W,L,1
1140,W,R,1
1140,W,T,4
1200,E,L,2
1200,E,R,2
1200,E,T,9
1200,N,L,3
1200,N,R,2
1200,N,T,11
1200,S,L,3
1200,S,R,2
1200,S,T,11
1200,W,L,2
1200,W,R,1
1200,W,T,6
1260,E,L,3
1260,E,R,2
1260,E,T,12
1260,N,L,2
1260,N,R,2
1260,N,T,9
1260,S,L,3
1260,S,R,2
1260,S,T,12
1260,W,L,3
1260,W,R,2
1260,W,T,11
1320,E,L,2
1320,E,R,2
1320,E,T,10
1320,N,L,2
1320,N,R,2
1320,N,T,11
1320,S,L,3
1320,S,R,2
1320,S,T,11
1320,W,L,2
1320,W,R,2
1320,W,T,10
1380,E,L,3
1380,E,R,3
1380,E,T,15
1380,N,L,3
1380,N,R,2
1380,N,T,12
1380,S,L,3
1380,S,R,2
1380,S,T,12
1380,W,L,2
1380,W,R,2
