t_seconds,minute,second,approach,movement,vehicles_count
0,0,00,N,L,0
0,0,00,N,T,0
0,0,00,N,R,0
0,0,00,E,L,0
0,0,00,E,T,1
0,0,00,E,R,0
0,0,00,S,L,0
0,0,00,S,T,0
0,0,00,S,R,0
0,0,00,W,L,0
0,0,00,W,T,0
0,0,00,W,R,0
1,0,01,N,L,0
1,0,01,N,T,0
1,0,01,N,R,0
1,0,01,E,L,0
1,0,01,E,T,0
1,0,01,E,R,0
1,0,01,S,L,0
1,0,01,S,T,1
1,0,01,S,R,0
1,0,01,W,L,0
1,0,01,W,T,0
1,0,01,W,R,0
2,0,02,N,L,0
2,0,02,N,T,0
2,0,02,N,R,0
2,0,02,E,L,0
2,0,02,E,T,0
2,0,02,E,R,0
2,0,02,S,L,0
2,0,02,S,T,1
2,0,02,S,R,0
2,0,02,W,L,0
2,0,02,W,T,0
2,0,02,W,R,0
3,0,03,N,L,0
3,0,03,N,T,0
3,0,03,N,R,0
3,0,03,E,L,0
3,0,03,E,T,0
3,0,03,E,R,0
3,0,03,S,L,0
3,0,03,S,T,0
3,0,03,S,R,0
3,0,03,W,L,0
3,0,03,W,T,1
3,0,03,W,R,0
4,0,04,N,L,0
4,0,04,N,T,0
4,0,04,N,R,0
4,0,04,E,L,0
4,0,04,E,T,0
4,0,04,E,R,0
4,0,04,S,L,0
4,0,04,S,T,0
4,0,04,S,R,0
4,0,04,W,L,0
4,0,04,W,T,0
4,0,04,W,R,0
5,0,05,N,L,0
5,0,05,N,T,0
5,0,05,N,R,0
5,0,05,E,L,0
5,0,05,E,T,0
5,0,05,E,R,0
5,0,05,S,L,0
5,0,05,S,T,0
5,0,05,S,R,0
5,0,05,W,L,0
5,0,05,W,T,0
5,0,05,W,R,0
6,0,06,N,L,0
6,0,06,N,T,0
6,0,06,N,R,0
6,0,06,E,L,0
6,0,06,E,T,0
6,0,06,E,R,0
6,0,06,S,L,0
6,0,06,S,T,0
6,0,06,S,R,0
6,0,06,W,L,0
6,0,06,W,T,0
6,0,06,W,R,0
7,0,07,N,L,0
7,0,07,N,T,0
7,0,07,N,R,0
7,0,07,E,L,0
7,0,07,E,T,0
7,0,07,E,R,0
7,0,07,S,L,0
7,0,07,S,T,0
7,0,07,S,R,0
7,0,07,W,L,0
7,0,07,W,T,0
7,0,07,W,R,0
8,0,08,N,L,0
8,0,08,N,T,0
8,0,08,N,R,0
8,0,08,E,L,0
8,0,08,E,T,0
8,0,08,E,R,0
8,0,08,S,L,0
8,0,08,S,T,0
8,0,08,S,R,0
8,0,08,W,L,0
8,0,08,W,T,0
8,0,08,W,R,0
9,0,09,N,L,0
9,0,09,N,T,1
9,0,09,N,R,0
9,0,09,E,L,0
9,0,09,E,T,0
9,0,09,E,R,0
9,0,09,S,L,0
9,0,09,S,T,0
9,0,09,S,R,0
9,0,09,W,L,0
9,0,09,W,T,0
9,0,09,W,R,0
10,0,10,N,L,0
10,0,10,N,T,0
10,0,10,N,R,0
10,0,10,E,L,0
10,0,10,E,T,0
10,0,10,E,R,0
10,0,10,S,L,0
10,0,10,S,T,0
10,0,10,S,R,0
10,0,10,W,L,0
10,0,10,W,T,0
10,0,10,W,R,0
11,0,11,N,L,0
11,0,11,N,T,0
11,0,11,N,R,0
11,0,11,E,L,0
11,0,11,E,T,0
11,0,11,E,R,0
11,0,11,S,L,0
11,0,11,S,T,0
11,0,11,S,R,0
11,0,11,W,L,0
11,0,11,W,T,1
11,0,11,W,R,0
12,0,12,N,L,0
12,0,12,N,T,0
12,0,12,N,R,0
12,0,12,E,L,0
12,0,12,E,T,0
12,0,12,E,R,0
12,0,12,S,L,0
12,0,12,S,T,0
12,0,12,S,R,0
12,0,12,W,L,0
12,0,12,W,T,0
12,0,12,W,R,0
13,0,13,N,L,0
13,0,13,N,T,0
13,0,13,N,R,0
13,0,13,E,L,0
13,0,13,E,T,0
13,0,13,E,R,0
13,0,13,S,L,0
13,0,13,S,T,0
13,0,13,S,R,0
13,0,13,W,L,0
13,0,13,W,T,0
13,0,13,W,R,0
14,0,14,N,L,0
14,0,14,N,T,0
14,0,14,N,R,0
14,0,14,E,L,0
14,0,14,E,T,0
14,0,14,E,R,0
14,0,14,S,L,0
14,0,14,S,T,0
14,0,14,S,R,0
14,0,14,W,L,0
14,0,14,W,T,0
14,0,14,W,R,0
15,0,15,N,L,0
15,0,15,N,T,0
15,0,15,N,R,0
15,0,15,E,L,0
15,0,15,E,T,0
15,0,15,E,R,0
15,0,15,S,L,0
15,0,15,S,T,0
15,0,15,S,R,0
15,0,15,W,L,0
15,0,15,W,T,1
15,0,15,W,R,1
16,0,16,N,L,0
16,0,16,N,T,0
16,0,16,N,R,0
16,0,16,E,L,0
16,0,16,E,T,0
16,0,16,E,R,0
16,0,16,S,L,0
16,0,16,S,T,0
16,0,16,S,R,0
16,0,16,W,L,0
16,0,16,W,T,0
16,0,16,W,R,0
17,0,17,N,L,0
17,0,17,N,T,0
17,0,17,N,R,0
17,0,17,E,L,0
17,0,17,E,T,0
17,0,17,E,R,0
17,0,17,S,L,0
17,0,17,S,T,0
17,0,17,S,R,0
17,0,17,W,L,1
17,0,17,W,T,0
17,0,17,W,R,1
18,0,18,N,L,0
18,0,18,N,T,0
18,0,18,N,R,0
18,0,18,E,L,0
18,0,18,E,T,0
18,0,18,E,R,0
18,0,18,S,L,0
18,0,18,S,T,0
18,0,18,S,R,0
18,0,18,W,L,0
18,0,18,W,T,0
18,0,18,W,R,0
19,0,19,N,L,0
19,0,19,N,T,0
19,0,19,N,R,0
19,0,19,E,L,0
19,0,19,E,T,1
19,0,19,E,R,0
19,0,19,S,L,0
19,0,19,S,T,0
19,0,19,S,R,0
19,0,19,W,L,0
19,0,19,W,T,0
19,0,19,W,R,0
20,0,20,N,L,0
20,0,20,N,T,0
20,0,20,N,R,0
20,0,20,E,L,0
20,0,20,E,T,0
20,0,20,E,R,0
20,0,20,S,L,0
20,0,20,S,T,0
20,0,20,S,R,0
20,0,20,W,L,0
20,0,20,W,T,0
20,0,20,W,R,0
21,0,21,N,L,0
21,0,21,N,T,0
21,0,21,N,R,0
21,0,21,E,L,0
21,0,21,E,T,0
21,0,21,E,R,0
21,0,21,S,L,0
21,0,21,S,T,0
21,0,21,S,R,0
21,0,21,W,L,0
21,0,21,W,T,0
21,0,21,W,R,0
22,0,22,N,L,0
22,0,22,N,T,0
22,0,22,N,R,0
22,0,22,E,L,0
22,0,22,E,T,1
22,0,22,E,R,0
22,0,22,S,L,0
22,0,22,S,T,0
22,0,22,S,R,0
22,0,22,W,L,0
22,0,22,W,T,0
22,0,22,W,R,0
23,0,23,N,L,0
23,0,23,N,T,0
23,0,23,N,R,0
23,0,23,E,L,0
23,0,23,E,T,1
23,0,23,E,R,0
23,0,23,S,L,0
23,0,23,S,T,0
23,0,23,S,R,0
23,0,23,W,L,0
23,0,23,W,T,0
23,0,23,W,R,0
24,0,24,N,L,0
24,0,24,N,T,0
24,0,24,N,R,0
24,0,24,E,L,0
24,0,24,E,T,0
24,0,24,E,R,0
24,0,24,S,L,0
24,0,24,S,T,0
24,0,24,S,R,1
24,0,24,W,L,0
24,0,24,W,T,0
24,0,24,W,R,0
25,0,25,N,L,0
25,0,25,N,T,0
25,0,25,N,R,0
25,0,25,E,L,0
25,0,25,E,T,1
25,0,25,E,R,0
25,0,25,S,L,0
25,0,25,S,T,1
25,0,25,S,R,0
25,0,25,W,L,0
25,0,25,W,T,0
25,0,25,W,R,0
26,0,26,N,L,0
26,0,26,N,T,0
26,0,26,N,R,0
26,0,26,E,L,0
26,0,26,E,T,0
26,0,26,E,R,0
26,0,26,S,L,0
26,0,26,S,T,0
26,0,26,S,R,0
26,0,26,W,L,0
26,0,26,W,T,0
26,0,26,W,R,0
27,0,27,N,L,0
27,0,27,N,T,0
27,0,27,N,R,0
27,0,27,E,L,0
27,0,27,E,T,0
27,0,27,E,R,0
27,0,27,S,L,0
27,0,27,S,T,0
27,0,27,S,R,0
27,0,27,W,L,0
27,0,27,W,T,0
27,0,27,W,R,0
28,0,28,N,L,0
28,0,28,N,T,0
28,0,28,N,R,0
28,0,28,E,L,0
28,0,28,E,T,0
28,0,28,E,R,0
28,0,28,S,L,0
28,0,28,S,T,0
28,0,28,S,R,0
28,0,28,W,L,0
28,0,28,W,T,1
28,0,28,W,R,0
29,0,29,N,L,0
29,0,29,N,T,0
29,0,29,N,R,1
29,0,29,E,L,0
29,0,29,E,T,0
29,0,29,E,R,0
29,0,29,S,L,0
29,0,29,S,T,0
29,0,29,S,R,0
29,0,29,W,L,0
29,0,29,W,T,1
29,0,29,W,R,0
30,0,30,N,L,0
30,0,30,N,T,0
30,0,30,N,R,0
30,0,30,E,L,0
30,0,30,E,T,2
30,0,30,E,R,0
30,0,30,S,L,0
30,0,30,S,T,1
30,0,30,S,R,0
30,0,30,W,L,0
30,0,30,W,T,1
30,0,30,W,R,0
31,0,31,N,L,0
31,0,31,N,T,0
31,0,31,N,R,0
31,0,31,E,L,0
31,0,31,E,T,0
31,0,31,E,R,0
31,0,31,S,L,0
31,0,31,S,T,0
31,0,31,S,R,0
31,0,31,W,L,0
31,0,31,W,T,0
31,0,31,W,R,0
32,0,32,N,L,0
32,0,32,N,T,0
32,0,32,N,R,0
32,0,32,E,L,0
32,0,32,E,T,1
32,0,32,E,R,0
32,0,32,S,L,0
32,0,32,S,T,1
32,0,32,S,R,0
32,0,32,W,L,0
32,0,32,W,T,0
